"","mean","se_mean","sd","X2.5.","X25.","X50.","X75.","X97.5.","n_eff","Rhat"
"sigma[2]",0.527712513885858,0.000627619498901862,0.0343761357078639,0.466756683598419,0.503703015565707,0.526196418497327,0.548805593161576,0.601506670781331,3000,0.999564663317475
"sigma[3]",0.715963913335935,0.00130351305400683,0.0501652343762421,0.624768334785678,0.681630609124831,0.712893385616589,0.748109753140641,0.818348211264297,1481.06773780019,0.999784706243356
"p[1]",0.479225630491629,0.0046279373851665,0.164013345473883,0.2188098604981,0.36151356291011,0.454348100195167,0.577785045938611,0.862173656228687,1255.9820296992,1.00121149523688
"p[2]",0.2521767686652,0.00420396270835548,0.114992307375455,0.101922069499166,0.17223067545274,0.226905192923558,0.30009777634546,0.553974121095915,748.20372652561,1.00076923736472
"p[3]",0.627771161239494,0.00328901240665256,0.180146628703796,0.298776036709338,0.490593305032359,0.627465410638839,0.756503397475763,0.962105091241644,3000,1.00058552872825
"p[4]",0.220921889257578,0.00345552176985428,0.102666324512553,0.0891217028239805,0.154468422383025,0.200610547515086,0.261772489677907,0.472141877885164,882.731779587405,1.00186915638195
"p[5]",0.288687752944907,0.00236470618903775,0.129520292160805,0.0986914865204587,0.195729381918909,0.267056708038503,0.357170741342999,0.606372224114865,3000,1.00120902320551
"p[6]",0.213918337847191,0.00463715723998486,0.11257557643505,0.0826478650448899,0.141241212688067,0.185214198304046,0.250866802268324,0.53287950633719,589.36550553696,1.00055103246012
"p[7]",0.205708307316753,0.00271958211972371,0.0961183028513821,0.0725559670516782,0.141811800058564,0.188853543778683,0.249585154587317,0.442012166644053,1249.13055989264,1.0000635158236
"p[8]",0.611074402451335,0.00342870324127181,0.187797810823565,0.26367212163132,0.469816660142034,0.599541615086595,0.757367552567187,0.961595675042941,3000,0.999388171020904
"p[9]",0.795787664566332,0.00289723382440227,0.158688031999208,0.423564668038213,0.701481960411709,0.828091251015025,0.925234380513188,0.991214879954104,3000,0.999926688545913
